C2A,C4A,EF1,EF3_A,EF3_B,EF3_C,EF3_D,EF3_E,EF3_F,EF3_G,EF3_H,credit_score_group,year
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,1,1,0,0,0,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,0,1,0,0,1,0,0,0,Prime,2020
1,3,0,0,0,0,0,1,0,0,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,0,1,0,0,0,0,0,0,0,Prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,1,1,1,0,0,0,0,0,Prime,2020
0,-2,0,0,0,1,0,0,0,1,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,0,1,1,1,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,0,0,1,0,0,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,1,0,0,0,0,0,0,Prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
0,-2,0,0,0,0,0,1,1,1,1,Near-prime,2020
0,-2,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,2,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,0,1,0,0,0,0,0,0,Prime,2020
1,0,0,1,1,0,0,0,0,0,0,Prime,2020
1,0,0,0,1,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,3,1,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
0,-2,0,0,0,0,0,1,0,0,0,Near-prime,2020
1,1,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,3,0,0,0,0,0,0,0,0,1,Near-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,0,1,0,0,0,0,0,0,0,Prime,2020
1,2,1,0,0,0,0,0,0,1,0,Prime,2020
1,0,1,0,0,1,0,1,0,0,0,Super-prime,2020
1,1,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,2,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,0,0,0,0,0,0,0,0,1,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,0,1,0,0,0,0,0,0,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,1,0,0,0,1,0,Near-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,0,1,0,0,0,0,1,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
0,-2,0,0,0,0,0,0,0,0,1,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,1,0,1,0,0,0,0,0,Prime,2020
0,-2,0,0,0,0,0,0,0,0,1,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,1,1,1,1,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,2,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,0,0,1,0,0,0,0,0,0,Prime,2020
1,3,0,0,0,0,0,0,0,0,1,Near-prime,2020
1,3,1,0,1,0,0,0,0,0,0,Near-prime,2020
1,2,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,0,1,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,2,1,1,1,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,3,1,0,1,0,0,0,0,0,0,Near-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,1,0,1,0,0,0,0,0,0,0,Prime,2020
1,3,0,0,1,1,0,0,0,0,0,Subprime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,1,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,1,1,0,1,1,0,0,0,0,0,Prime,2020
1,3,0,0,1,0,1,1,0,1,0,Subprime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
0,-2,0,0,0,0,0,0,0,0,1,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,1,0,1,1,0,0,0,0,0,Near-prime,2020
1,2,1,0,1,0,0,0,0,0,0,Prime,2020
1,2,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,1,0,0,0,0,0,0,0,Prime,2020
1,3,0,1,1,0,0,0,0,0,0,Subprime,2020
0,-2,0,0,0,0,0,0,0,0,1,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,0,1,1,0,0,0,0,0,Prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,1,1,0,0,0,1,0,Near-prime,2020
1,1,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,0,0,0,0,0,1,Near-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,0,1,0,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,1,0,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,0,1,1,0,0,0,0,0,Prime,2020
0,-2,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,0,0,0,1,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
0,-2,0,0,0,0,0,0,0,0,1,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,0,0,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,1,0,0,1,0,0,0,Subprime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,2,1,1,0,0,0,0,0,0,0,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,1,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
0,-2,0,0,0,1,0,1,0,1,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,0,0,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,3,0,1,1,1,0,1,0,0,0,Subprime,2020
0,-2,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,1,0,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,0,0,1,0,0,0,Subprime,2020
1,0,0,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,0,0,0,0,0,0,0,0,1,Near-prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,1,0,0,0,0,0,0,0,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,0,0,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
0,-2,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,1,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,2,0,1,0,1,0,0,0,1,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,0,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,2,0,0,0,1,0,0,0,0,0,Prime,2020
0,-2,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,1,0,1,0,0,0,0,0,Prime,2020
1,3,0,0,1,1,0,0,0,1,0,Subprime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,1,0,0,0,0,0,0,0,Near-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,0,0,0,0,0,0,0,0,1,Near-prime,2020
0,-2,0,0,0,0,0,0,0,1,1,Prime,2020
1,2,0,0,1,1,0,0,0,0,0,Near-prime,2020
1,3,0,0,1,0,0,0,0,0,0,Subprime,2020
1,0,1,0,1,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,1,0,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
0,-2,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
0,-2,1,0,0,0,0,0,0,0,1,Super-prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,1,0,0,0,0,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,1,0,1,0,0,0,0,0,Prime,2020
1,3,0,1,0,0,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,2,1,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,1,0,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,1,0,0,0,0,0,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,3,1,0,1,0,1,0,0,0,0,Near-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,1,0,0,1,0,1,0,Subprime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,1,0,1,0,0,0,0,0,0,Prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,3,1,1,0,1,0,0,0,0,0,Prime,2020
1,0,0,0,0,0,0,1,0,1,0,Prime,2020
1,3,0,0,0,0,0,0,0,0,1,Near-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,0,1,0,0,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,2,0,1,0,0,0,0,0,0,0,Prime,2020
1,2,1,0,0,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,1,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,0,0,0,1,0,0,0,0,0,Near-prime,2020
1,1,0,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,1,0,0,1,1,0,0,0,0,0,Prime,2020
1,0,1,0,0,1,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Prime,2020
1,0,1,1,0,0,0,0,0,0,0,Super-prime,2020
1,0,0,1,0,0,0,0,0,0,0,Super-prime,2020
1,3,1,0,1,0,0,0,0,0,0,Near-prime,2020
